,Temp (K),Measured T (ns),Measured T + error (ns),Measured T - error (ns),Theory T (ns),Theory T + error (ns),Theory T - error (ns),Source,Type of T
0,6.499334455153123,83126.539,10487.286000000007,10119.680999999997,459.4659854780271,135.16825023795928,100.69044116724012,Exp.: Trusheim et al. (2020),$T_1^Q$
1,5.997543418210988,98512.742,17840.428,16497.766999999993,772.0969161996416,227.13975022166392,169.20246889467603,Exp.: Trusheim et al. (2020),$T_1^Q$
2,5.499597759419876,175840.66,44881.265,45419.07400000002,1426.4250941819764,419.63364029112586,312.5963108580838,Exp.: Trusheim et al. (2020),$T_1^Q$
3,5.000731532012161,371962.292,68879.12100000004,66651.647,2981.197868210376,877.0253124176079,653.3195884884362,Exp.: Trusheim et al. (2020),$T_1^Q$
4,4.500329172076962,641123.11,126491.15899999993,126295.87300000002,7345.902940400087,2161.058442310403,1609.8301750695837,Exp.: Trusheim et al. (2020),$T_1^Q$
5,4.000936443180145,1258296.766,282961.3080000001,285962.34899999993,21588.637650496694,6351.0650809177605,4731.078073095268,Exp.: Trusheim et al. (2020),$T_1^Q$
6,3.751509171177541,2812055.327,577244.4270000001,587744.6159999999,43455.23871602208,12783.902979904982,9523.07090326112,Exp.: Trusheim et al. (2020),$T_1^Q$
7,3.5009730639543686,5250172.052,1493205.6590000005,1455838.1259999992,90904.68185762252,26742.843155950686,19921.458409785497,Exp.: Trusheim et al. (2020),$T_1^Q$
8,3.2505943939390924,10459785.45,2311562.4409999987,2313148.6799999997,228809.43850802036,67312.42881642678,50142.82674838579,Exp.: Trusheim et al. (2020),$T_1^Q$
9,2.99934811,4214569.0,1351185.0,1364269.0,712302.5672386246,209549.11722895224,156098.73637369566,Exp.: Rosenthal et al. (2023),$T_1^Q$
10,3.249674055,2536374.0,719264.0,696180.0,244613.66970797657,71961.80514715053,53606.27140398318,Exp.: Rosenthal et al. (2023),$T_1^Q$
11,3.498044329,508610.99999999994,97252.99999999994,0.0,97358.6707725378,28641.513386733175,21335.82859532858,Exp.: Rosenthal et al. (2023),$T_1^Q$
12,3.748370274,253253.0,0.0,0.0,41013.090958042805,12065.458416647081,8987.88235194609,Exp.: Rosenthal et al. (2023),$T_1^Q$
13,3.998696219,80633.9,0.0,0.0,20413.890799955443,6005.471541289335,4473.636211500745,Exp.: Rosenthal et al. (2023),$T_1^Q$
14,4.249022164,37219.5,0.0,0.0,10481.358945870697,3083.464268536318,2296.9549208172884,Exp.: Rosenthal et al. (2023),$T_1^Q$
15,4.49934811,16921.5,0.0,0.0,6067.739569852863,1785.0412576315966,1329.7249273866482,Exp.: Rosenthal et al. (2023),$T_1^Q$
16,4.749674055,10902.5,0.0,0.0,3572.7335556842286,1051.0465595964647,782.9526651914716,Exp.: Rosenthal et al. (2023),$T_1^Q$
17,5.0,5266.56,1606.1600000000003,1445.5599999999995,2301.4487669590744,677.0529542432109,504.3548358162243,Exp.: Rosenthal et al. (2023),$T_1^Q$
18,1.68904824,176018.0,0.0,0.0,5181640582.473663,1524363911.8738031,1135539534.5969172,Exp.: Rosenthal et al. (2023),$T_2^Q$
19,1.996088657,148984.0,0.0,0.0,95094414.35213348,27975401.410778567,20839622.45003718,Exp.: Rosenthal et al. (2023),$T_2^Q$
20,2.248370274,151260.0,0.0,0.0,9355003.188296137,2752105.4003262985,2050116.8424992934,Exp.: Rosenthal et al. (2023),$T_2^Q$
21,2.498696219,159502.0,0.0,0.0,1252276.173523579,368400.25272066006,274431.1915700858,Exp.: Rosenthal et al. (2023),$T_2^Q$
22,2.747066493,164411.0,0.0,0.0,274637.937152406,80793.21778801258,60185.026645051694,Exp.: Rosenthal et al. (2023),$T_2^Q$
23,2.99934811,142361.0,0.0,0.0,69826.75063686418,20540.72770727727,15301.336889441394,Exp.: Rosenthal et al. (2023),$T_2^Q$
24,3.249674055,97456.0,0.0,0.0,23981.388977267292,7053.6850240103995,5254.478413772005,Exp.: Rosenthal et al. (2023),$T_2^Q$
25,3.496088657,46018.9,0.0,0.0,9547.358532372604,2807.4017443023113,2091.308499181254,Exp.: Rosenthal et al. (2023),$T_2^Q$
26,3.750325945,18673.7,0.0,0.0,4024.4225050420296,1182.6333537759897,880.9750150187215,Exp.: Rosenthal et al. (2023),$T_2^Q$
27,3.998696219,7990.379999999999,0.0,0.0,2005.3249623730542,588.6432485143171,438.49574426760046,Exp.: Rosenthal et al. (2023),$T_2^Q$
28,4.250977836,3744.58,0.0,0.0,1031.7605190360127,302.2331572754988,225.14089318250672,Exp.: Rosenthal et al. (2023),$T_2^Q$
29,4.49934811,2011.3600000000001,0.0,0.0,599.1511199826446,174.9634741524975,130.3338254707748,Exp.: Rosenthal et al. (2023),$T_2^Q$
30,4.747718383,1122.1,0.0,0.0,354.60319760184444,103.01727798889448,76.73838637248298,Exp.: Rosenthal et al. (2023),$T_2^Q$
31,5.0,792.0,370.0,364.6399999999999,230.00428139996382,66.35706824699224,49.42815072082871,Exp.: Rosenthal et al. (2023),$T_2^Q$
32,4.502336449,86011193.46000001,0.0,0.0,20021562.10560911,5890054.111470759,4387658.684186723,Exp.: Guo et al. (2023),$T_1^Q$
33,5.0,16393047.070000002,0.0,0.0,4862028.880523377,1430338.6042886917,1065497.443599495,Exp.: Guo et al. (2023),$T_1^Q$
